Organism Source,ATCC Number,"Strain (Genus, species)",Strain Designation,Product Type,Type Strain Flag,Isolation Source (Where found),Type of Isolate,Geographical Isolation,Year of Origin,Culture Medium,Incubation Temperature,Atmosphere,Handling Procedure,Product Format,Storage Conditions,Biosafety Level,Safety Data Sheet (SDS API),ATCC Product Link,Intended Use,Permits & Restrictions,Genome Sequenced Strain,GenBank Accession,Serotype,Verification Method,Antibiotic Resistance Profile,Applications,Specific Applications,Special Collection,Cross References,Patent Number,NBF Folder,NBF File Name,Start,End,Well / Sample Position ID,NOTES
ATCC 14025,14025,Enterococcus aviumCollins et al.,"NCTC 9938 [JCM 8722, NCDO 2369]",Unknown,Yes,Unknown,Unknown,Unknown,Unknown,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Unknown,"1. Open vial according to enclosed instructions.2. Using a single tube of #44 broth (5 to 6 ml), withdraw approximately 0.5 to 1.0 ml with a Pasteur or 1.0 ml pipette.  Rehydrate the pellet.3. Aseptically transfer this aliquot back into the broth tube.  Mix well.4. Use several drops of the suspension to inoculate a #260 agar slant and/or plate.5. Incubate the tubes and plate at 37oC for 24 hours.",Freeze-dried,Unknown,BSL 1,https://www.atcc.org/api/product/sds?atcc_number=14025,https://www.atcc.org/products/14025,"This product is intended for laboratory research use only. It is not intended for any animal or human therapeutic use, any human or animal consumption, or any diagnostic use.",Permit required for delivery (check ATCC catalog terms),Yes,"GenBankAX109555Sequence 288 from Patent WO0123604.GenBankAX109885Sequence 618 from Patent WO0123604.GenBankAX110989Sequence 1722 from Patent WO0123604.GenBankAX111136Sequence 1869 from Patent WO0123604.GenBankU39774Enterococcus avium D-alanine:D-alanine ligase gene, partial cds.GenBankAJ387906Enterococcus avium partial sodA gene for superoxide dismutase, strain CIP 103019 T (ATCC 14025).",Unknown,Whole-genome Sequencing,Unknown,Quality control,Quality control strainQuality control strain for API productsControl strain for Group Q,Unknown,"GenBankAX109555Sequence 288 from Patent WO0123604.GenBankAX109885Sequence 618 from Patent WO0123604.GenBankAX110989Sequence 1722 from Patent WO0123604.GenBankAX111136Sequence 1869 from Patent WO0123604.GenBankU39774Enterococcus avium D-alanine:D-alanine ligase gene, partial cds.GenBankAJ387906Enterococcus avium partial sodA gene for superoxide dismutase, strain CIP 103019 T (ATCC 14025).",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ATCC 14025,14025,Enterococcus aviumCollins et al.,"NCTC 9938 [JCM 8722, NCDO 2369]",Unknown,Yes,Unknown,Unknown,Unknown,Unknown,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Unknown,"1. Open vial according to enclosed instructions.2. Using a single tube of #44 broth (5 to 6 ml), withdraw approximately 0.5 to 1.0 ml with a Pasteur or 1.0 ml pipette.  Rehydrate the pellet.3. Aseptically transfer this aliquot back into the broth tube.  Mix well.4. Use several drops of the suspension to inoculate a #260 agar slant and/or plate.5. Incubate the tubes and plate at 37oC for 24 hours.",Freeze-dried,Unknown,BSL 1,https://www.atcc.org/api/product/sds?atcc_number=14025,https://www.atcc.org/products/14025,"This product is intended for laboratory research use only. It is not intended for any animal or human therapeutic use, any human or animal consumption, or any diagnostic use.",Permit required for delivery (check ATCC catalog terms),Yes,"GenBankAX109555Sequence 288 from Patent WO0123604.GenBankAX109885Sequence 618 from Patent WO0123604.GenBankAX110989Sequence 1722 from Patent WO0123604.GenBankAX111136Sequence 1869 from Patent WO0123604.GenBankU39774Enterococcus avium D-alanine:D-alanine ligase gene, partial cds.GenBankAJ387906Enterococcus avium partial sodA gene for superoxide dismutase, strain CIP 103019 T (ATCC 14025).",Unknown,Whole-genome Sequencing,Unknown,Quality control,Quality control strainQuality control strain for API productsControl strain for Group Q,Unknown,"GenBankAX109555Sequence 288 from Patent WO0123604.GenBankAX109885Sequence 618 from Patent WO0123604.GenBankAX110989Sequence 1722 from Patent WO0123604.GenBankAX111136Sequence 1869 from Patent WO0123604.GenBankU39774Enterococcus avium D-alanine:D-alanine ligase gene, partial cds.GenBankAJ387906Enterococcus avium partial sodA gene for superoxide dismutase, strain CIP 103019 T (ATCC 14025).",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ATCC 8750,8750,Alcaligenes faecalissubsp.faecalisCastellani and Chalmers,16 [NCIB 8156],Preceptrol culture,Yes,Unknown,Unknown,Unknown,Unknown,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,"Open vial.Using a single tube of #18 broth (5 to 6 mL), withdraw approximately 0.5 to 1.0 mL with a Pasteur or 1.0 mL pipette. Rehydrate the entire pellet.Aseptically transfer this aliquot back into the broth tube. Mix well.Use several drops of the suspension to inoculate a #18 agar slant and/or plate.Incubate the tubes and plate at 37°C for 24 to 48 hours.",Freeze-dried,2°C to 8°C,BSL 1,https://www.atcc.org/api/product/sds?atcc_number=8750,https://www.atcc.org/products/8750,"This product is intended for laboratory research use only. It is not intended for any animal or human therapeutic use, any human or animal consumption, or any diagnostic use.",Permit required for delivery (check ATCC catalog terms),Yes,"GenBankAX110839Sequence 1572 from Patent WO0123604.GenBankAX111450Sequence 2183 from Patent WO0123604.GenBankM22508A.faecalis 16S ribosomal RNA, complete cds.GenBankD00104Alcaligenes faecalis 5S rRNA, partial sequence.GenBankX05518Alcaligenes faecalis (ATCC 8750) 5S ribosomal RNA.GenBankAF114786Alcaligenes faecalis copper dependent nitrite reductase (nir) gene, partial cds.",Unknown,Whole-genome Sequencing,Unknown,BioinformaticsQuality control,Produces nitrilaseQuality control strainQuality control strain for Autobac products,Unknown,"GenBankAX110839Sequence 1572 from Patent WO0123604.GenBankAX111450Sequence 2183 from Patent WO0123604.GenBankM22508A.faecalis 16S ribosomal RNA, complete cds.GenBankD00104Alcaligenes faecalis 5S rRNA, partial sequence.GenBankX05518Alcaligenes faecalis (ATCC 8750) 5S ribosomal RNA.GenBankAF114786Alcaligenes faecalis copper dependent nitrite reductase (nir) gene, partial cds.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ATCC 8750,8750,Alcaligenes faecalissubsp.faecalisCastellani and Chalmers,16 [NCIB 8156],Preceptrol culture,Yes,Unknown,Unknown,Unknown,Unknown,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,"Open vial.Using a single tube of #18 broth (5 to 6 mL), withdraw approximately 0.5 to 1.0 mL with a Pasteur or 1.0 mL pipette. Rehydrate the entire pellet.Aseptically transfer this aliquot back into the broth tube. Mix well.Use several drops of the suspension to inoculate a #18 agar slant and/or plate.Incubate the tubes and plate at 37°C for 24 to 48 hours.",Freeze-dried,2°C to 8°C,BSL 1,https://www.atcc.org/api/product/sds?atcc_number=8750,https://www.atcc.org/products/8750,"This product is intended for laboratory research use only. It is not intended for any animal or human therapeutic use, any human or animal consumption, or any diagnostic use.",Permit required for delivery (check ATCC catalog terms),Yes,"GenBankAX110839Sequence 1572 from Patent WO0123604.GenBankAX111450Sequence 2183 from Patent WO0123604.GenBankM22508A.faecalis 16S ribosomal RNA, complete cds.GenBankD00104Alcaligenes faecalis 5S rRNA, partial sequence.GenBankX05518Alcaligenes faecalis (ATCC 8750) 5S ribosomal RNA.GenBankAF114786Alcaligenes faecalis copper dependent nitrite reductase (nir) gene, partial cds.",Unknown,Whole-genome Sequencing,Unknown,BioinformaticsQuality control,Produces nitrilaseQuality control strainQuality control strain for Autobac products,Unknown,"GenBankAX110839Sequence 1572 from Patent WO0123604.GenBankAX111450Sequence 2183 from Patent WO0123604.GenBankM22508A.faecalis 16S ribosomal RNA, complete cds.GenBankD00104Alcaligenes faecalis 5S rRNA, partial sequence.GenBankX05518Alcaligenes faecalis (ATCC 8750) 5S ribosomal RNA.GenBankAF114786Alcaligenes faecalis copper dependent nitrite reductase (nir) gene, partial cds.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ATCC 6939,6939,Rhodococcus equi(Magnusson) Goodfellow and Alderson,"NCTC 1621 [ATCC 25729, NRRL B-16538]",Unknown,Yes,Lung abscess of foal,Animal,Unknown,Unknown,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,"Open vial according to enclosed instructions.Using a single tube of #44 broth (5 to 6 mL), withdraw approximately 0.5 to 1.0 mL with a Pasteur or 1.0 mL pipette. Rehydrate the entire pellet.Aseptically transfer this aliquot back into the broth tube. Mix well.Use several drops of the suspension to inoculate a #44 agar slant, an agar plate or an additional broth tube if desired.Incubate the tubes and plate at 37°C for 24 hours.",Freeze-dried,2°C to 8°C,BSL 2,https://www.atcc.org/api/product/sds?atcc_number=6939,https://www.atcc.org/products/6939,"This product is intended for laboratory research use only. It is not intended for any animal or human therapeutic use, any human or animal consumption, or any diagnostic use.",Permit required for delivery (check ATCC catalog terms),Yes,GenBankX80603R.equi gene for small-subunit ribosomal RNA.,Unknown,Whole-genome Sequencing,Unknown,Agricultural researchQuality control,CAMP testExamination of dairy productsQuality control strainReference materialUsed as a control strain in CAMP test to confirmListeriaspecies.,Unknown,GenBankX80603R.equi gene for small-subunit ribosomal RNA.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ATCC 6939,6939,Rhodococcus equi(Magnusson) Goodfellow and Alderson,"NCTC 1621 [ATCC 25729, NRRL B-16538]",Unknown,Yes,Lung abscess of foal,Animal,Unknown,Unknown,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,"Open vial according to enclosed instructions.Using a single tube of #44 broth (5 to 6 mL), withdraw approximately 0.5 to 1.0 mL with a Pasteur or 1.0 mL pipette. Rehydrate the entire pellet.Aseptically transfer this aliquot back into the broth tube. Mix well.Use several drops of the suspension to inoculate a #44 agar slant, an agar plate or an additional broth tube if desired.Incubate the tubes and plate at 37°C for 24 hours.",Freeze-dried,2°C to 8°C,BSL 2,https://www.atcc.org/api/product/sds?atcc_number=6939,https://www.atcc.org/products/6939,"This product is intended for laboratory research use only. It is not intended for any animal or human therapeutic use, any human or animal consumption, or any diagnostic use.",Permit required for delivery (check ATCC catalog terms),Yes,GenBankX80603R.equi gene for small-subunit ribosomal RNA.,Unknown,Whole-genome Sequencing,Unknown,Agricultural researchQuality control,CAMP testExamination of dairy productsQuality control strainReference materialUsed as a control strain in CAMP test to confirmListeriaspecies.,Unknown,GenBankX80603R.equi gene for small-subunit ribosomal RNA.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ATCC 13032,13032,Corynebacterium glutamicum(Kinoshita et al.) Abe et al.,534 [NCIB 10025],Unknown,Yes,Sewage,Wastewater,Unknown,Unknown,ATCC Medium 3: Nutrient agar or nutrient brothATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,"Open vial according to enclosed instructions.Using a single tube of #3 broth (5 to 6 mL), withdraw approximately 0.5 to 1.0 mL with a Pasteur or 1.0 mL pipette. Rehydrate the entire pellet.Aseptically transfer this aliquot back into the broth tube. Mix well.Use several drops of the suspension to inoculate a #3 agar slant and/or plate.Incubate the tubes and plate at 37°C for 24 hours.",Freeze-dried,2°C to 8°C,BSL 1,https://www.atcc.org/api/product/sds?atcc_number=13032,https://www.atcc.org/products/13032,"This product is intended for laboratory research use only. It is not intended for any animal or human therapeutic use, any human or animal consumption, or any diagnostic use.",Permit required for delivery (check ATCC catalog terms),Yes,"GenBankY09578C.glutamicum leuB gene.GenBankM16175C.glutamicum 5S rRNA.GenBankX93513C.glutamicum amt gene.GenBankX93514C.glutamicum betP gene.GenBankX95649C.glutamicum ORF4 gene.GenBankY09163C.glutamicum putP gene.GenBankX81379C.glutamicum dapE gene and orf2.GenBankX85965C.glutamicum ORF3 and aroP gene.GenBankA78796Sequence 1 from Patent EP0563527.GenBankA78797Sequence 2 from Patent EP0563527.GenBankA78798Sequence 3 from Patent EP0563527.GenBankX89850C.glutamicum DNA for attB region.GenBankX78491C.glutamicum (ATCC 13032) aceB gene.GenBankX89084C.glutamicum pta gene and ackA gene.GenBankY09548Corynebacterium glutamicum pyc gene.GenBankX96580C.glutamicum panB, panC & xylB genes.GenBankY13221Corynebacterium glutamicum glnA gene.GenBankAJ238250Corynebacterium glutamicum ndh gene.GenBankY17592Corynebacterium glutamicum accDA gene.GenBankAJ012293Corynebacterium glutamicum ilvD gene.GenBankX90356C.glutamicum DNA for promoter fragment F1.GenBankX90357C.glutamicum DNA for promoter fragment F2.GenBankX90358C.glutamicum DNA for promoter fragment F10.GenBankX90359C.glutamicum DNA for promoter fragment F13.GenBankX90360C.glutamicum DNA for promoter fragment F22.GenBankX90361C.glutamicum DNA for promoter fragment F34.GenBankX90362C.glutamicum DNA for promoter fragment F37.GenBankX90363C.glutamicum DNA for promoter fragment F45.GenBankX90364C.glutamicum DNA for promoter fragment F64.GenBankX90365C.glutamicum DNA for promoter fragment F75.GenBankX60312C.glutamicum lysI gene for L-lysine permease.GenBankX81191C.glutamicum gluA, gluB, gluC and gluD genes.GenBankX75504C.glutamicum aceA gene and thiX genes (partial).GenBankY16642Corynebacterium glutamicum lpd gene, complete CDS.GenBankX70959C.glutamicum gene leuA for isopropylmalate synthase.GenBankX86157C.glutamicum argC, argJ, argB, argD, and argF genes.GenBankAJ004934Corynebacterium glutamicum dapD gene, complete CDS.GenBankX67737C.glutamicum dapB gene for dihydrodipicolinate reductase.GenBankX71489C.glutamicum icd gene for monomeric isocitrate dehydrogenase.GenBankM25819C.glutamicum phosphoenolpyruvate carboxylase gene, complete cds.GenBankX59404Corynebacterium glutamicum, gdh gen for glutamate dehydrogenase.GenBankU31281Corynebacterium glutamicum biotin synthase (bioB) gene, complete cds.GenBankE04376DNA sequence encoding corynebacterium glutamicum isocitric acid lyase.GenBankAF189147Corynebacterium glutamicum ISCg2 transposase (tnp) gene, complete cds.GenBankAB055218Corynebacterium glutamicum gene for superoxide dismutase, complete cds.GenBankAJ306418Corynebacterium glutamicum ctaE gene, qcrC gene, qcrA gene and qcrB gene.GenBankL01508Corynebacterium glutamicum threonine dehydratase (ilvA) gene, complete cds.GenBankAF005635Corynebacterium glutamicum glutamine synthetase (glnA) gene, complete cds.GenBankAJ269506Corynebacterium glutamicum pck gene for phosphoenolpyruvate carboxykinase.GenBankU43535Corynebacterium glutamicum multidrug resistance protein (cmr) gene, complete cds.GenBankU43536Corynebacterium glutamicum heat shock, ATP-binding protein (clpB) gene, complete cds.GenBankAJ006985Streptomyces glaucescens GLA.0 gene cluster for 5'-hydroxystreptomycin biosynthesis.GenBankE04377DNA sequence encoding corynebacterium glutamicum isocitric acid lyase N-terminal fragment.GenBankAF112536Corynebacterium glutamicum ribonucleotide reductase beta-chain (nrdF) gene, complete cds.GenBankAJ300822Corynebacterium glutamicum secE gene, nusG gene, rplK gene, rplA gene and partial pkwR gene.GenBankAF116184Corynebacterium glutamicum L-aspartate-alpha-decarboxylase precursor (panD) gene, complete cds.GenBankU35023Corynebacterium glutamicum thiosulfate sulfurtransferase (thtR) gene, partial cds, acyl CoA carboxylase (accBC) gene, complete cds.GenBankAJ306417Corynebacterium glutamicum partial nrdF gene for ribonucleotide reductase beta-subunit and ctaD gene for cytochrome aa3 oxidase subunit I.GenBankL09232Corynebacterium glutamicum acetohydroxy acid synthase (ilvB) and (ilvN) genes, and acetohydroxy acid isomeroreductase (ilvC) gene, complete cds.GenBankAF112535Corynebacterium glutamicum putative glutaredoxin NrdH (nrdH), NrdI (nrdI), and ribonucleotide reductase alpha-chain (nrdE) genes, complete cds.GenBankM89931Corynebacterium glutamicum beta C-S lyase (aecD) and branched-chain amino acid uptake carrier (brnQ) genes, complete cds, and hypothetical protein Yhbw (yhbw) gene, partial cds.GenBankU13922Corynebacterium glutamicum putative type II 5-cytosoine methyltransferase (cglIM) and putative type II restriction endonuclease (cglIR) and putative type I or type III restriction endonuclease (clgIIR) genes, complete cds.GenBankBA000036Corynebacterium glutamicumATCC 13032DNA, complete genome.",Unknown,Whole-genome Sequencing,Unknown,Food production researchAgricultural researchBiocontrol,"Produces glutamic acid L-glutamate, L-glutamic acid, glutamateTransformation hostPotential strain for bioconversion and precision fermentation of food ingredientsPotential strain for single cell protein production for food or feedPotential plant growth promoting strain; Biocontrol",Unknown,"GenBankY09578C.glutamicum leuB gene.GenBankM16175C.glutamicum 5S rRNA.GenBankX93513C.glutamicum amt gene.GenBankX93514C.glutamicum betP gene.GenBankX95649C.glutamicum ORF4 gene.GenBankY09163C.glutamicum putP gene.GenBankX81379C.glutamicum dapE gene and orf2.GenBankX85965C.glutamicum ORF3 and aroP gene.GenBankA78796Sequence 1 from Patent EP0563527.GenBankA78797Sequence 2 from Patent EP0563527.GenBankA78798Sequence 3 from Patent EP0563527.GenBankX89850C.glutamicum DNA for attB region.GenBankX78491C.glutamicum (ATCC 13032) aceB gene.GenBankX89084C.glutamicum pta gene and ackA gene.GenBankY09548Corynebacterium glutamicum pyc gene.GenBankX96580C.glutamicum panB, panC & xylB genes.GenBankY13221Corynebacterium glutamicum glnA gene.GenBankAJ238250Corynebacterium glutamicum ndh gene.GenBankY17592Corynebacterium glutamicum accDA gene.GenBankAJ012293Corynebacterium glutamicum ilvD gene.GenBankX90356C.glutamicum DNA for promoter fragment F1.GenBankX90357C.glutamicum DNA for promoter fragment F2.GenBankX90358C.glutamicum DNA for promoter fragment F10.GenBankX90359C.glutamicum DNA for promoter fragment F13.GenBankX90360C.glutamicum DNA for promoter fragment F22.GenBankX90361C.glutamicum DNA for promoter fragment F34.GenBankX90362C.glutamicum DNA for promoter fragment F37.GenBankX90363C.glutamicum DNA for promoter fragment F45.GenBankX90364C.glutamicum DNA for promoter fragment F64.GenBankX90365C.glutamicum DNA for promoter fragment F75.GenBankX60312C.glutamicum lysI gene for L-lysine permease.GenBankX81191C.glutamicum gluA, gluB, gluC and gluD genes.GenBankX75504C.glutamicum aceA gene and thiX genes (partial).GenBankY16642Corynebacterium glutamicum lpd gene, complete CDS.GenBankX70959C.glutamicum gene leuA for isopropylmalate synthase.GenBankX86157C.glutamicum argC, argJ, argB, argD, and argF genes.GenBankAJ004934Corynebacterium glutamicum dapD gene, complete CDS.GenBankX67737C.glutamicum dapB gene for dihydrodipicolinate reductase.GenBankX71489C.glutamicum icd gene for monomeric isocitrate dehydrogenase.GenBankM25819C.glutamicum phosphoenolpyruvate carboxylase gene, complete cds.GenBankX59404Corynebacterium glutamicum, gdh gen for glutamate dehydrogenase.GenBankU31281Corynebacterium glutamicum biotin synthase (bioB) gene, complete cds.GenBankE04376DNA sequence encoding corynebacterium glutamicum isocitric acid lyase.GenBankAF189147Corynebacterium glutamicum ISCg2 transposase (tnp) gene, complete cds.GenBankAB055218Corynebacterium glutamicum gene for superoxide dismutase, complete cds.GenBankAJ306418Corynebacterium glutamicum ctaE gene, qcrC gene, qcrA gene and qcrB gene.GenBankL01508Corynebacterium glutamicum threonine dehydratase (ilvA) gene, complete cds.GenBankAF005635Corynebacterium glutamicum glutamine synthetase (glnA) gene, complete cds.GenBankAJ269506Corynebacterium glutamicum pck gene for phosphoenolpyruvate carboxykinase.GenBankU43535Corynebacterium glutamicum multidrug resistance protein (cmr) gene, complete cds.GenBankU43536Corynebacterium glutamicum heat shock, ATP-binding protein (clpB) gene, complete cds.GenBankAJ006985Streptomyces glaucescens GLA.0 gene cluster for 5'-hydroxystreptomycin biosynthesis.GenBankE04377DNA sequence encoding corynebacterium glutamicum isocitric acid lyase N-terminal fragment.GenBankAF112536Corynebacterium glutamicum ribonucleotide reductase beta-chain (nrdF) gene, complete cds.GenBankAJ300822Corynebacterium glutamicum secE gene, nusG gene, rplK gene, rplA gene and partial pkwR gene.GenBankAF116184Corynebacterium glutamicum L-aspartate-alpha-decarboxylase precursor (panD) gene, complete cds.GenBankU35023Corynebacterium glutamicum thiosulfate sulfurtransferase (thtR) gene, partial cds, acyl CoA carboxylase (accBC) gene, complete cds.GenBankAJ306417Corynebacterium glutamicum partial nrdF gene for ribonucleotide reductase beta-subunit and ctaD gene for cytochrome aa3 oxidase subunit I.GenBankL09232Corynebacterium glutamicum acetohydroxy acid synthase (ilvB) and (ilvN) genes, and acetohydroxy acid isomeroreductase (ilvC) gene, complete cds.GenBankAF112535Corynebacterium glutamicum putative glutaredoxin NrdH (nrdH), NrdI (nrdI), and ribonucleotide reductase alpha-chain (nrdE) genes, complete cds.GenBankM89931Corynebacterium glutamicum beta C-S lyase (aecD) and branched-chain amino acid uptake carrier (brnQ) genes, complete cds, and hypothetical protein Yhbw (yhbw) gene, partial cds.GenBankU13922Corynebacterium glutamicum putative type II 5-cytosoine methyltransferase (cglIM) and putative type II restriction endonuclease (cglIR) and putative type I or type III restriction endonuclease (clgIIR) genes, complete cds.GenBankBA000036Corynebacterium glutamicumATCC 13032DNA, complete genome.","3,002,889",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
