Name,ATCC Number,Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
Moraxella catarrhalis,ATCC 25238,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,"95% Air, 5% CO2",BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25238,https://www.atcc.org/products/25238
Chromobacterium violaceum,ATCC 12472,Freshwater,ATCC Medium 3: Nutrient agar or nutrient broth,26°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=12472,https://www.atcc.org/products/12472
Chromobacterium violaceum,ATCC 12472,Freshwater,ATCC Medium 3: Nutrient agar or nutrient broth,26°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=12472,https://www.atcc.org/products/12472
Staphylococcus saprophylicus,ATCC 49453,N/A,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep bloodATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=49453,https://www.atcc.org/products/49453
Staphylococcus saprophylicus,ATCC 49453,N/A,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep bloodATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=49453,https://www.atcc.org/products/49453
Staphylococcus simulans,ATCC 27848,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27848,https://www.atcc.org/products/27848
Staphylococcus simulans,ATCC 27848,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27848,https://www.atcc.org/products/27848
Staphylococcus auricularis,ATCC 33753,External auditory meatus,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=33753,https://www.atcc.org/products/33753
Staphylococcus auricularis,ATCC 33753,External auditory meatus,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=33753,https://www.atcc.org/products/33753
Staphylococcus schleiferi,ATCC 49545,External ear otitis of canine,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=49545,https://www.atcc.org/products/49545
Staphylococcus schleiferi,ATCC 49545,External ear otitis of canine,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=49545,https://www.atcc.org/products/49545
Staphylococcus epidermidis,ATCC 12228,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
Staphylococcus epidermidis,ATCC 12228,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
Pseudomonas aeruginosa,ATCC 27853,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
Pseudomonas aeruginosa,ATCC 27853,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
Streptococcus salivarius subsp. salivaris,ATCC 13419,N/A,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13419,https://www.atcc.org/products/13419
Streptococcus salivarius subsp. salivaris,ATCC 13419,N/A,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13419,https://www.atcc.org/products/13419
Staphylococcus haemolyticus,ATCC 29970,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29970,https://www.atcc.org/products/29970
Staphylococcus haemolyticus,ATCC 29970,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29970,https://www.atcc.org/products/29970
Staphylococcus aureus sub sp. aureus,ATCC 29213,Wound,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29213,https://www.atcc.org/products/29213
Staphylococcus aureus sub sp. aureus,ATCC 29213,Wound,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29213,https://www.atcc.org/products/29213
Staphylococcus lugdunensis,ATCC 49576,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=49576,https://www.atcc.org/products/49576
Staphylococcus lugdunensis,ATCC 49576,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=49576,https://www.atcc.org/products/49576
Acinetobatcor baumiini,ATCC 19606,Urine,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19606,https://www.atcc.org/products/19606
Acinetobatcor baumiini,ATCC 19606,Urine,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19606,https://www.atcc.org/products/19606
Pseudomonas aeruginosa,ATCC 27853,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
