Organism Source,"Strain (Genus, species)",Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
ATCC 49453,Staphylococcus saprophylicus,N/A,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep bloodATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=49453,https://www.atcc.org/products/49453
ATCC 49453,Staphylococcus saprophylicus,N/A,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep bloodATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=49453,https://www.atcc.org/products/49453
ATCC 27848,Staphylococcus simulans,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27848,https://www.atcc.org/products/27848
ATCC 27848,Staphylococcus simulans,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27848,https://www.atcc.org/products/27848
ATCC 33753,Staphylococcus auricularis,External auditory meatus,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=33753,https://www.atcc.org/products/33753
ATCC 33753,Staphylococcus auricularis,External auditory meatus,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=33753,https://www.atcc.org/products/33753
ATCC 49545,Staphylococcus schleiferi,External ear otitis of canine,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=49545,https://www.atcc.org/products/49545
ATCC 49545,Staphylococcus schleiferi,External ear otitis of canine,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=49545,https://www.atcc.org/products/49545
ATCC 12228,Staphylococcus epidermidis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
ATCC 12228,Staphylococcus epidermidis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
ATCC 27853,Pseudomonas aeruginosa,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
ATCC 27853,Pseudomonas aeruginosa,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
ATCC 13419,Streptococcus salivarius subsp. salivaris,N/A,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13419,https://www.atcc.org/products/13419
ATCC 13419,Streptococcus salivarius subsp. salivaris,N/A,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13419,https://www.atcc.org/products/13419
ATCC 29970,Staphylococcus haemolyticus,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29970,https://www.atcc.org/products/29970
ATCC 29970,Staphylococcus haemolyticus,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29970,https://www.atcc.org/products/29970
ATCC 29213,Staphylococcus aureus sub sp. aureus,Wound,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29213,https://www.atcc.org/products/29213
