Organism Source,"Strain (Genus, species)",Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
ATCC 33317,Streptococcus bovis,Cow dung,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=33317,https://www.atcc.org/products/33317
ATCC 43734,Corynebacterium jeikeium,Blood culture,ATCC Medium 1941: Brain heart infusion agar or broth with Tween 80ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=43734,https://www.atcc.org/products/43734
ATCC 43734,Corynebacterium jeikeium,Blood culture,ATCC Medium 1941: Brain heart infusion agar or broth with Tween 80ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=43734,https://www.atcc.org/products/43734
ATCC 13253,Elizabethkingia meningoseptica,Spinal fluid from premature infant,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13253,https://www.atcc.org/products/13253
ATCC 13253,Elizabethkingia meningoseptica,Spinal fluid from premature infant,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13253,https://www.atcc.org/products/13253
ATCC 15309,Acinetobacter iwoffii,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=15309,https://www.atcc.org/products/15309
ATCC 15309,Acinetobacter iwoffii,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=15309,https://www.atcc.org/products/15309
ATCC 49176,Abiotrophia defectiva,Blood of bacterial endocarditis patient,ATCC Medium 1511: Vitamin B6 blood agar ATCC Medium 260 with 10.0 mg/L of pyridoxal-HCl,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=49176,https://www.atcc.org/products/49176
ATCC 49176,Abiotrophia defectiva,Blood of bacterial endocarditis patient,ATCC Medium 1511: Vitamin B6 blood agar ATCC Medium 260 with 10.0 mg/L of pyridoxal-HCl,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=49176,https://www.atcc.org/products/49176
ATCC 27061,Achromobacter xylosoxidans,Ear discharge,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27061,https://www.atcc.org/products/27061
ATCC 27061,Achromobacter xylosoxidans,Ear discharge,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27061,https://www.atcc.org/products/27061
ATCC 27037,Actinomyces gerencseriae,Submandibular abscess,ATCC Medium 1053: Reinforced Clostridial medium (Oxoid CM149),37°C,Anaerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27037,https://www.atcc.org/products/27037
ATCC 27037,Actinomyces gerencseriae,Submandibular abscess,ATCC Medium 1053: Reinforced Clostridial medium (Oxoid CM149),37°C,Anaerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27037,https://www.atcc.org/products/27037
ATCC 19004,Acinetobacter pittii,Cerebrospinal fluid,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19004,https://www.atcc.org/products/19004
ATCC 19004,Acinetobacter pittii,Cerebrospinal fluid,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19004,https://www.atcc.org/products/19004
Blank FB,Blank FB,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pa 10^4,Pa 10^4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATCC BAA- 617,Acinetobacter ursingii,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATCC BAA- 617,Acinetobacter ursingii,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATCC 700050,Actinomyces neuii,Presternal atheroma,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=700050,https://www.atcc.org/products/700050
ATCC 700050,Actinomyces neuii,Presternal atheroma,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=700050,https://www.atcc.org/products/700050
ATCC 23055,Acinetobacter calcoaceticus,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=23055,https://www.atcc.org/products/23055
ATCC 23055,Acinetobacter calcoaceticus,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=23055,https://www.atcc.org/products/23055
ATCC 19606,Acinetobacter baumannii,Urine,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19606,https://www.atcc.org/products/19606
ATCC 19606,Acinetobacter baumannii,Urine,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19606,https://www.atcc.org/products/19606
ATCC 12102,Actinomyces israelii,Brain abscess,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Anaerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=12102,https://www.atcc.org/products/12102
ATCC 12102,Actinomyces israelii,Brain abscess,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Anaerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=12102,https://www.atcc.org/products/12102
Blank FB,Blank FB,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pa 10^4,Pa 10^4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
